Day,Y,Updated Y,OverallInfectionRate
1,0.00000271182206440309,0.00004192900931841630,0.89
2,0.00000309146322551701,0.00004230865047953020,0.89
3,0.00000352424923456066,0.00004274143648857390,0.89
4,0.00000401761879403056,0.00004323480604804380,0.89
5,0.00000458005153804181,0.00004379723879205500,0.89
6,0.00000522121361491713,0.00004443840086893030,0.89
7,0.00000595212360677295,0.00004516931086078620,0.89
8,0.00000678534161989567,0.00004600252887390890,0.89
9,0.00000773518477241955,0.00004695237202643280,0.89
10,0.00000881797275231375,0.00004803516000632700,0.89
11,0.00001005230762613090,0.00004926949488014410,0.89
12,0.00001145939265542770,0.00005067657990944100,0.89
13,0.00001306339553229650,0.00005228058278630970,0.89
14,0.00001489186218818590,0.00005410904944219910,0.89
15,0.00001697618817246800,0.00005619337542648130,0.89
16,0.00001935215555163560,0.00005856934280564880,0.89
17,0.00002206054436056390,0.00006127773161457710,0.89
18,0.00002514782885937200,0.00006436501611338520,0.89
19,0.00002866697022998140,0.00006788415748399460,0.89
20,0.00003267831890391870,0.00007189550615793190,0.89
21,0.00003725064146713510,0.00007646782872114830,0.89
22,0.00004246228905983170,0.00008167947631384490,0.89
23,0.00004840252640182100,0.00008761971365583420,0.89
24,0.00005517304304984540,0.00009439023030385860,0.89
25,0.00006288967125563130,0.00010210685850964500,0.89
26,0.00007168433786461090,0.00011090152511862400,0.89
27,0.00008170728109540620,0.00012092446834941900,0.89
28,0.00009312956678568200,0.00013234675403969500,0.89
29,0.00010614594279078000,0.00014536313004479300,0.89
30,0.00012097807467785600,0.00016019526193186900,0.89
31,0.00013787821065598600,0.00017709539790999900,0.89
32,0.00015713332878750200,0.00019635051604151500,0.89
33,0.00017906982487499000,0.00021828701212900300,0.89
34,0.00020405880491065600,0.00024327599216466900,0.89
35,0.00023252205145635200,0.00027173923871036600,0.89
36,0.00026493873857019600,0.00030415592582420900,0.89
37,0.00030185297459341400,0.00034107016184742800,0.89
38,0.00034388225582228200,0.00038309944307629600,0.89
39,0.00039172691622066700,0.00043094410347468000,0.89
40,0.00044618065808260900,0.00048539784533662200,0.89
41,0.00050814224487648300,0.00054735943213049600,0.89
42,0.00057862842901056700,0.00061784561626458000,0.89
43,0.00065878817216209000,0.00069800535941610300,0.89
44,0.00074991819180780000,0.00078913537906181300,0.89
45,0.00085347983176232200,0.00089269701901633500,0.89
46,0.00097111720320148300,0.00101033439045550000,0.89
47,0.00110467647126912000,0.00114389365852314000,0.89
48,0.00125622606536882000,0.00129544325262283000,0.89
49,0.00142807746192773000,0.00146729464918174000,0.89
50,0.00162280601889389000,0.00166202320614790000,0.89
51,0.00184327112242777000,0.00188248830968178000,0.89
52,0.00209263462813329000,0.00213185181538730000,0.89
53,0.00237437623116734000,0.00241359341842135000,0.89
54,0.00269230397140526000,0.00273152115865927000,0.89
55,0.00305055756297519000,0.00308977475022921000,0.89
56,0.00345360162729907000,0.00349281881455308000,0.89
57,0.00390620520791673000,0.00394542239517074000,0.89
58,0.00441340316836611000,0.00445262035562013000,0.89
59,0.00498043425405404000,0.00501965144130805000,0.89
60,0.00561264979465103000,0.00565186698190505000,0.89
61,0.00631538633075111000,0.00635460351800512000,0.89
62,0.00709379501051539000,0.00713301219776940000,0.89
63,0.00795262062017252000,0.00799183780742654000,0.89
64,0.00889592385388098000,0.00893514104113500000,0.89
65,0.00992674222673202000,0.00996595941398604000,0.89
66,0.01104668827412920000,0.01108590546138320000,0.89
67,0.01225548875950770000,0.01229470594676170000,0.89
68,0.01355047587062830000,0.01358969305788230000,0.89
69,0.01492605099114040000,0.01496526817839440000,0.89
70,0.01637315342635420000,0.01641237061360820000,0.89
71,0.01787877975176010000,0.01791799693901410000,0.89
72,0.01942561282685300000,0.01946483001410700000,0.89
73,0.02099183069853250000,0.02103104788578650000,0.89
74,0.02255117148214920000,0.02259038866940320000,0.89
75,0.02407332716381770000,0.02411254435107170000,0.89
76,0.02552472351285220000,0.02556394070010620000,0.89
77,0.02686971245878710000,0.02690892964604110000,0.89
78,0.02807215734338940000,0.02811137453064340000,0.89
79,0.02909733404394530000,0.02913655123119940000,0.89
80,0.02991401001401530000,0.02995322720126930000,0.89
81,0.03049651046967800000,0.03053572765693200000,0.89
82,0.03082654955838530000,0.03086576674563930000,0.89
83,0.03089460582907410000,0.03093382301632810000,0.89
84,0.03070066131041440000,0.03073987849766840000,0.89
85,0.03025419882928010000,0.03029341601653410000,0.89
86,0.02957345032916190000,0.02961266751641590000,0.89
87,0.02868399057396870000,0.02872320776122270000,0.89
88,0.02761685485836200000,0.02765607204561600000,0.89
89,0.02640640970760890000,0.02644562689486290000,0.89
90,0.02508821449024700000,0.02512743167750100000,0.89
91,0.02369708219511650000,0.02373629938237050000,0.89
92,0.02226549053439400000,0.02230470772164800000,0.89
93,0.02082242535463440000,0.02086164254188850000,0.89
94,0.01939267184385330000,0.01943188903110730000,0.89
95,0.01799651595347690000,0.01803573314073090000,0.89
96,0.01664978404289820000,0.01668900123015220000,0.89
97,0.01536413314832130000,0.01540335033557540000,0.89
98,0.01414750412078320000,0.01418672130803720000,0.89
99,0.01300466020769470000,0.01304387739494870000,0.89
100,0.01193774947349670000,0.01197696666075080000,0.89
101,0.01094684671400780000,0.01098606390126190000,0.89
102,0.01003044647756700000,0.01006966366482100000,0.89
103,0.00918589198854890000,0.00922510917580291000,0.89
104,0.00840973468319036000,0.00844895187044438000,0.89
105,0.00769802586491192000,0.00773724305216594000,0.89
106,0.00704654615817717000,0.00708576334543118000,0.89
107,0.00645098059678610000,0.00649019778404011000,0.89
108,0.00590704791504670000,0.00594626510230071000,0.89
109,0.00541059241914029000,0.00544980960639430000,0.89
110,0.00495764608814471000,0.00499686327539872000,0.89
111,0.00454446756677361000,0.00458368475402762000,0.89
112,0.00416756364943557000,0.00420678083668958000,0.89
113,0.00382369783070746000,0.00386291501796147000,0.89
114,0.00350988957233139000,0.00354910675958540000,0.89
115,0.00322340713831324000,0.00326262432556725000,0.89
116,0.00296175618274300000,0.00300097336999702000,0.89
117,0.00272266573210546000,0.00276188291935948000,0.89
118,0.00250407277128328000,0.00254328995853730000,0.89
119,0.00230410630399390000,0.00234332349124792000,0.89
